Title,Description,Offer Semester,Lecturers,Assessments,Workload
"""CCST9026 – Scientific Revolutions: Their Continuing Impact on Our World and Society""","This course is under the thematic cluster(s) of:This course will review some of the most important scientific revolutions that have taken place in the history of science and that have led us to where we are today. These include major paradigm shifts in the Physical, Astronomical, Atomic, Relativistic and Quantum domains. They will be placed in their historical contexts and include the struggle of individual scientists to reveal scientific truth, often against established societal dogma and the prevailing views on nature. These scientific revolutions had a deep social impact by changing the way the world is seen and understood and by laying the foundations for the emergence of game-changing new technologies that continue to profoundly shape our lives and social order.The course will promote deep thinking and open discussion on the social contexts and socio-cultural impacts of the major scientific revolutions. Scientific knowledge and its application by scientists influence, even unconsciously, the way individuals in society think about themselves and interact with others and the world around them. The way of life for billions of people is deeply affected by the technologies and truths that have emerged.The course will address the following fundamental issues: what is science and how does it work; what is the nature of scientific research; how does science develop and how do paradigms change; how do scientific controversies begin and end so that rival professional commitments become shared scientific endeavour; and what are the social, cultural and technological impacts and consequences of scientific revolutions?",First semester (Wed),"- Professor Q.A. Parker Faculty of Science: Tel: 2241 5932 Email: quentinp@hku.hk
- Professor Q.A. Parker Faculty of Science: Tel: 2241 5932 Email: quentinp@hku.hk
","- In-class test: 40
- Individual mini project: 20
- Group presentation: 20
- Response essays: 20","- Lectures: 22
- Tutorials: 11
- Seminars: 2
- Reading / Self-study: 40
- Assessment: Presentation (incl preparation): 30
- Assessment: In-class test (incl preparation): 28
- Total: 133"
"""CCGL9010 – Sports Culture under Global Capitalism""","Sports capture the minds and bodies of billions of people around the world and have an immense significance in our everyday lives. This course engages different cross-cultural examples of sport and introduces students to the relationship between sport and its sociocultural settings.Sports inform and create certain lifestyles and values: they are about cooperation, inclusion, and fair play. But they are also about competition, inequality, and violence. Sports are highly structured, and yet at the same time totally unpredictable. Sports transmit moral principles and shape attitudes to life, but might also undermine authority and contribute to social instability. Sports can both unite and divide teams, groups of people, and even entire nations. Sports are not only shaped by society, but sports themselves shape society, dynamically intertwined as they are with moral education, socioeconomic class, gender, ethnicity, nationalism, globalization.In this course, students will explore different cross-cultural examples of sports from all over the world, introducing the role and importance of sports in the present and the past, in “modern” and “traditional” societies, and seeing the relationship between sports and their sociocultural setting. We will draw on a variety of disciplines including sociology, anthropology, gender studies, history, and cultural studies.",First semester (Wed),"- Dr T. McDonald Department of Sociology, Faculty of Social Sciences: Tel: 3917 1105 Email: mcdonald@hku.hk
- Dr M. Montagner Department of Sociology, Faculty of Social Sciences: Tel: 3917 2055 Email: montm@hku.hk
","- Tutorial participation: 20
- In-class quizzes: 40
- Group project (incl written report and presentation): 40","- Lectures: 24
- Tutorials: 11
- Reading / Self-study: 48
- Assessment: Essay / Report writing: 52
- Total: 135"
"""CCST9022 – How the Mass Media Depicts Science, Technology and the Natural World""","This course is under the thematic cluster(s) of:Public understanding and perception of science and technology issues are heavily shaped by their depictions in the mass media. This course aims at helping students to understand what is science from the point of view of scientists, to become discerning and critical consumers of science and technology as depicted in the mass media, and to be able to critically understand how science and technology influence our daily life from multiple perspectives. In this course, we first introduce the scientific method (i.e. observations, hypothesis, prediction, experiment, and theory) and how it is applied in the real world through issues such as public/private funding sources, control samples, statistics, and press-release versus peer-reviewed publications. We then introduce elements of media criticism and how the media shape our view of the world.",First semester (Wed),"- Professor H.F. Chau Department of Physics, Faculty of Science: Tel: 2859 1925 Email: hfchau@hku.hk
- Professor H.F. Chau Department of Physics, Faculty of Science: Tel: 2859 1925 Email: hfchau@hku.hk
- Dr J.S.C. Pun Department of Physics, Faculty of Science: Tel: 2859 1962 Email: jcspun@hku.hk
","- In-class quizzes: 30
- Individual mini project: 30
- Group presentation: 20
- Case study: 20","- Lectures: 22
- Tutorials: 10
- Reading / Self-study: 60
- Assessment: Presentation (incl preparation): 15
- Assessment: Case study: 12
- Assessment: Mini project: 15
- Assessment: In-class quiz (incl revision): 10
- Total: 144"
"""CCHU9069 – Economic Logic of Civilizations: How Human Societies have Innovated to Deal with Risk""","This course is under the thematic cluster(s) of:Humans have become increasingly more civilized and violence has declined substantially in the last two millennia. Are we, though, really better species than before, or something else has happened? How have human societies innovated and developed increasingly better ways to deal with the challenges of risk events such as natural disasters, climate shocks, epidemic viruses, and wars? And how can financial knowledge help us understand the relationship between socio-economic history and the history of civilizations?This course addresses these global questions with an interdisciplinary historical approach, developing a risk-mitigation perspective on the evolution of human civilizations so that we can better understand how civilizations have evolved and how we can better foresee future growth areas in frontier, emerging, and developed markets. The course explores a number of human innovations, including mythology, magic, supernatural beliefs, technologies, social structures, cultural norms, religions, financial markets, and the welfare state. This broad scope of knowledge on the historical evolution of risk-sharing arrangements allows us to appreciate that cultures and institutions have each evolved historically as a way to maximize the probability of human survival, which in turn allows us to see where they will go as better risk-mitigating tools become available due to technological and financial progress.",Second semester (Wed),"- Professor Z. Chen Faculty of Business and Economics (Finance): Tel: 2219 4967 Email: zhiwu.chen@hku.hk
- Professor Z. Chen Faculty of Business and Economics (Finance): Tel: 2219 4967 Email: zhiwu.chen@hku.hk
","- Individual assignments: 40
- In-class participation and discussions: 20
- Group project: 20
- Quiz: 20","- Lectures: 26
- Tutorials: 11
- Reading / Self-study / Homework: 56
- Assessment: Essay / Report writing: 30
- Assessment: Presentation (incl preparation): 7
- Assessment: Quiz: 2
- Total: 132"
"""CCHU9007 – Sexuality and Gender: Diversity and Society""","This course is under the thematic cluster(s) of:[This is a certified Communication-intensive (CI) Course which meets all of the requirements endorsed by HKU’s Senate, including (i) the teaching assessment of visual and digital communication ‘literacies’; and (ii) at least 40% of the course grade assigned to communication-rich assessment tasks.]What is sexual and gender diversity? How does the experience of our own genderedness and sexuality define members of sexual and gender minorities as people, and shape our opinions about those people who do not share our experiences or who do not express their sexuality in the same ways as we do? In this course, which has the potential to be life-changing, we will look at these sorts of questions and we will do so while learning about (and in many cases meeting and talking with) people whose gender or sexuality places them on the fringes of mainstream society. People who are gay, lesbian, bisexual or asexual; transgender people and individuals who cross dress, or play with bondage, domination, use pornography, and/or are involved in commercial sex activities. In lectures and tutorials we will examine questions such as: To what extent are sexual and gender diversity biologically ‘hard-wired’ rather than learned? What is ‘normal’ in human sexuality and gender? How, in an increasingly interconnected world, are our ideas about sexual and gender diversity changing? What are the intersectionality that we can discover in the whole course of learning and how do we use these learnings to help make a better world? We expect students will come out of the course with an informed, open-minded and critical understanding of the issues covered, and be better able to join contemporary debates on sexual and gender diversity, debates that so often stir deep emotions and challenge fundamental beliefs.","Course will be offered twice:
Section 1 – First semester (Wed); Section 2 – Second semester (Wed)","- Dr B.B.R. Alegre School of Humanities (Gender Studies), Faculty of Arts: Tel: 5208 5405 Email: brendara@hku.hk
- Dr B.B.R. Alegre School of Humanities (Gender Studies), Faculty of Arts: Tel: 5208 5405 Email: brendara@hku.hk
","- Continuous assessment and task focused activities: 50
- Web presentation: 50","- Lectures: 20
- Online course material: 4
- Tutorials: 11
- Reading / Self-study: 48
- Assessment: Reflective journal: 20
- Assessment: Quiz (incl preparation): 8
- Assessment: Web presentation: 27
- Total: 138"
"""CCCH9052 – Arts, Science and Artifacts in Chinese Cultural Heritage""","Through a combined aesthetic and scientific approach to the preservation and appreciation of Chinese materials culture and heritage, this course explores the cultural significance of Chinese art and artifacts in an innovative and multidisciplinary way. Ancient copying by artisans to emulate and honour more ancient objects is, for example, set against modern techniques of reproduction, economic practices, and the intentions of collectors, artists, vendors, forgers, and scientistsThe course represents an exciting opportunity for students to enhance their knowledge of the cultural heritage and collections world. The focus is on China and its materials culture, artworks and artefacts but will innovatively incorporate the scientific method and its application to object testing, analysis and appraisal. Direct hands-on experience and reference to University of Hong Kong collections as well as visits to local museums comprises part of the learning. The content and theme for each course component will be reflective of relevant student observations and knowledge across science and the arts disciplines.",First semester (Wed),"- Professor Q.A. Parker Faculty of Science: Tel: 2241 5932 Email: quentinp@hku.hk
- Professor Q.A. Parker Faculty of Science: Tel: 2241 5932 Email: quentinp@hku.hk
","- Field visit reports: 10
- Essay: 10
- Poster presentation: 25
- In-class presentation: 25
- In-class test: 30","- Lectures: 22
- Tutorials: 8
- Seminars: 1
- Fieldwork / Visits: 5
- Reading / Self-study: 38
- Assessment: Essay / Report writing: 15
- Assessment: Group project and presentation: 22
- Assessment: In-class test (incl preparation): 20
- Total: 131"
"""CCST9080 – Fintech: Financial Inclusion, Emerging Markets, and Social Value""","FinTech (Financial Technology) has revolutionized how traditional financial services can be provided to the general public and prompted financial service providers to re-consider how they should do business across an expansive, and expanding, range of commercial enterprises. This course will trigger students to think about how FinTech can tackle important global issues, both social and financial, and open up new and emerging markets. The course, which will be interactive and make use of different forms of multi-media, will focus on the following themes. How best:Students, who need no prior experience with Fintech technologies, will learn the basics of Fintech operations, including blockchain technologies, and work collaboratively on projects that link Fintech technologies to social values in underserved populations. They will leave the course with a deeper understanding of finance, technology, and social responsibility and be better prepared to contribute to working teams both in and beyond the university.",Second semester (Wed),"- Professor S.M. Yiu Department of Computer Science, Faculty of Engineering: Tel: 2857 8242 Email: smyiu@cs.hku.hk
- Professor S.M. Yiu Department of Computer Science, Faculty of Engineering: Tel: 2857 8242 Email: smyiu@cs.hku.hk
- Professor D.W. Arner Department of Law, Faculty of Law: Tel: 3917 2951 Email: douglas.arner@hku.hk
- Professor C. Lin Faculty of Business and Economics (Finance): Tel: 3917 7793 Email: chenlin1@hku.hk
","- Tutorial participation: 10
- Essay / Report writing: 30
- Group project: 40
- Assignments: 20","- Lectures: 24
- Tutorials: 8
- Seminars: 7.5
- Reading / Self-study: 60
- Assessment: Assignments: 4.5
- Assessment: Essay / Report writing: 10
- Assessment: Group project: 20
- Total: 134"
"""CCCH9029 – Ideas and Practices of Healing Arts in Traditional Chinese Medicine""","This course is under the thematic cluster(s) of:This course introduces ideas and practices of healing arts in Traditional Chinese Medicine (TCM) through a critical exploration of ancient Chinese philosophy and history of TCM in its dynamic formation and development. The course seeks to enhance students’ interests in ancient medical practice from modern science and enriches students’ knowledge of key ideas and methods of healing arts in medical sciences, philosophy, religion, and literature.The course also engages them in cross-cultural inquiry by contrasting or connecting TCM with science and modern medicine. In light of influential theories in TCM, such as “陰陽五行” (Yin-Yang and five elements), “天人相應” (correlation between man and nature), “原氣論” Qi (vital energy) and “藥食同源” (the same origin of herbs and food), a number of key concepts in TCM will be explained. Comparison of Chinese medicine with modern medicine will be involved and there will also be debates on controversial cases to stimulate student discussion. First-hand experience of TCM will be demonstrated with student participation and a cross-cultural discussion on the vital interactions between TCM and modern medicine will be held in the class.[There are two compulsory visits and one of them (School of Chinese Medicine) will be scheduled during Reading Week.]",First semester (Wed),"- Professor Z.J. Zhang School of Chinese Medicine, Li Ka Shing Faculty of Medicine: Tel: 3917 6445 Email: zhangzj@hku.hk
- Professor Z.J. Zhang School of Chinese Medicine, Li Ka Shing Faculty of Medicine: Tel: 3917 6445 Email: zhangzj@hku.hk
- Professor J.G. Shen School of Chinese Medicine, Li Ka Shing Faculty of Medicine: Tel: 3917 6429 Email: shenjg@hku.hk
","- Tutorials: 20
- Presentation: 20
- Short essay: 25
- Group project: 25
- Field trip: 10","- Lectures: 24
- Tutorials: 8
- Fieldwork / Visits: 12
- Reading / Self-study: 58
- Assessment: Presentation (incl preparation): 8
- Assessment: Essay / Reflective writing: 40
- Total: 150"
"""CCHU9051 – Mysteries of the Human Mind""","This course is under the thematic cluster(s) of:The human mind is the foundation of society and culture, and it is something we are intimately acquainted with. But at the same time, its underlying nature is still shrouded in mystery and hard to explain.This course uses an interdisciplinary approach to explore the fascinating complexities of the mind. It involves philosophical analysis, scientific investigation, and an awareness of history and the broader social and moral implications of technology. A central issue is whether the mind is a computer. Can computers display intelligence, creativity, and emotions? Can the computer model of the mind explain the mysteries of consciousness and free will? Or do these mental phenomena require the existence of a soul?These issues are exciting not just because they are intellectually important, but also because to understand the mind is to understand ourselves better. We will see how the ideas in this course can help us become better thinkers, and improve our creativity and decision-making skills. We will also discuss how science and technology can challenge our conception of the self and how they might affect future human evolution in radical ways.",First semester (Wed),"- Dr A. Chaturvedi School of Humanities (Philosophy), Faculty of Arts: Tel: 3917 2796 Email: amitc@hku.hk
- Dr A. Chaturvedi School of Humanities (Philosophy), Faculty of Arts: Tel: 3917 2796 Email: amitc@hku.hk
","- Tutorial participation: 15
- Brief writing assignments: 20
- Quiz: 15
- Essay: 25
- Portfolio: 25","- Lectures: 24
- Tutorials: 8
- Reading / Self-study: 50
- Film and video viewing: 2
- Assessment: Essay / Report writing: 25
- Assessment: Special project: 25
- Assessment: Quiz: 1
- Total: 135"
"""CCHU9039 – Sexuality and Culture""","This course is under the thematic cluster(s) of:The course will examine the relationships between sexuality and cultural issues in contemporary society. Apart from different sexual orientations and gender issues, we will look into ethical, and social conflicts with sexuality; for example, how sexuality is portrayed in creative social media which, in turn, shapes our perception of sexuality; the root causes of the stigmatization and discrimination of the commercial sex industry and sexually transmitted infections; the significance of sex education and family planning; and, how our legal system in the global community has been changing across time on non-mainstream sexuality and sexual violence.Our course aims to bring an interdisciplinary focus on sexuality issues, such as medicine, arts, law and social sciences to illustrate the range of human sexual beliefs and behaviors in various sexuality groups; develop the students’ critical thinking and application of different disciplinary approaches in the understanding of the changing roles and implications of sexuality; explicate and compare the cultural assumptions underlying sexual behaviors in local and global societies and to help students to reflect on these concepts in their personal growth; and create an innovative environment for students to tackle some of the local and global challenges in sexuality.This course brings a transdisciplinary approach with invited professionals from diversified realms, ranging from Faculties of Arts, Humanities, Social Sciences and Law, to give a more holistic study on relationships between sexuality and our increasingly interconnected world. It will also incorporate with online course materials, interactive elements, visual aspects such as films, creative works and mass media to facilitate a better illustration of theoretical concepts. At the end of the course, students are expected to be able to think critically about sexuality; to understand the interplay of self, sexuality and the society; and be able to respect individual differences and preferences.","Course will be offered twice:
Section 1 – First semester (Wed), Section 2 – Second semester (Wed)","- Dr W.C.W. Wong Department of Family Medicine and Primary Care, Li Ka Shing Faculty of Medicine: Tel: 2518 5650 Email: wongwcw@hku.hk
- Dr W.C.W. Wong Department of Family Medicine and Primary Care, Li Ka Shing Faculty of Medicine: Tel: 2518 5650 Email: wongwcw@hku.hk
- Dr B.R. Alegre School of Humanities (Gender Studies), Faculty of Arts: Tel: 5208 5405 Email: brendara@hku.hk
","- Reflective journals: 30
- Final Project: 50
- Participation: 20","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 36
- Studying movies, audiofiles, etc: 6
- Assessment: Project: 30
- Assessment: Reflective journal: 18
- Assessment: NOTE: Participation slips will be completed in lecture, and will therefore not imply additional workload hours: 0
- Total: 126"
"""CCGL9024 – The Life and Death of Languages: Diversity, Identity and Globalization""","This course is under the thematic cluster(s) of:This course critically examines the issue of endangered languages, with particular focus on the role of globalization, ethnic identity and language policies in the life and death of languages. Since ancient times, population movements, war and trade have affected the ways in which different languages have fared. Western colonization of many parts of the world brought about drastic changes in the ecology of languages, in particular a dramatic decrease in diversity. The distribution of languages in the world today reveals that 78% of humans today express themselves in one of 85 large languages, while the remaining groups of humans speak over 5,000 different minor languages. Why is there such an imbalance? The fact that a few global languages represent modern and powerful nations while thousands of small languages usually represent indigenous and marginalized groups leads to a discourse of endangerment in which a threatened language requires “saving” or revitalization efforts. Others argue that the demands of modernity and globalization challenge this view. Who is right? In this course students are led to a deeper examination of the political, cultural and educational forces that shape the destiny of languages, so as to be able to more insightfully discuss the tension between preservation and modernization of human cultural heritage in modern society.",Second semester (Wed),"- Dr K. Yakpo School of Humanities (Linguistics), Faculty of Arts: Tel: 3917 7117 Email: kofi@hku.hk
- Dr K. Yakpo School of Humanities (Linguistics), Faculty of Arts: Tel: 3917 7117 Email: kofi@hku.hk
","- Essay: 40
- Group project: 40
- Tutorial participation: 20","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 48
- Independent research and fact-finding tasks: 6
- Assessment: Essay / Report writing: 20
- Assessment: Presentation (incl preparation): 20
- Total: 128"
"""CCGL9001 – Hong Kong Cinema through a Global Lens""","This course is under the thematic cluster(s) of:[This is a certified Communication-intensive (CI) Course which meets all of the requirements endorsed by HKU’s Senate, including (i) the teaching assessment of oral and digital communication ‘literacies’; and (ii) at least 40% of the course grade assigned to communication-rich assessment tasks.]In an age where cross-cultural interactions and global traffics are frequent, Hong Kong cinema cannot be regarded merely as a local cinema. It is an interesting site where complex global processes can be traced. Flows of capital, film personnel, technologies, ideas and creativity are vibrantly circulating inside and outside the cultural industry of filmmaking, resulting in phenomena such as transnational co-productions and cross-cultural cooperations. These dynamic processes are inflected in characterization, plot development, and space-time configurations on Hong Kong screens. This course takes students on an interdisciplinary exploration of the local-global interactions from a variety of approaches. With a selection of Hong Kong films, the course aims to help students attain a thorough understanding of the two-way relationship between the local, popular entertainment and the global film scene by investigating the major questions concerning globalization.","Course will be offered twice:
Section 1 – First semester (Wed); Section 2 – Second semester (Wed)","- Dr F.Y.W. Law School of Humanities (Comparative Literature), Faculty of Arts: Tel: 3917 2765 Email: lawfiona@hku.hk
- Dr F.Y.W. Law School of Humanities (Comparative Literature), Faculty of Arts: Tel: 3917 2765 Email: lawfiona@hku.hk
","- Video tests: 60
- Group presentation (with report): 30
- Participation in lectures and tutorials: 10","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 60
- Film viewings: 36
- Assessment: Essay / Report writing: 25
- Assessment: Presentation (incl preparation): 13
- Total: 168"
"""CCST9056 – The Force is with You: How Things Work""","This course is under the thematic cluster(s) of:The Force is with You! The world is a dynamical system for which ‘forces’ are acting everywhere to produce numerous sophisticated phenomena. Students taking this course will surf the world of forces through daily life examples and explanations based on scientific arguments. Fundamental laws of science are abstract, but their implication and applications are concrete. In addition to a scientific exploration of ‘force,’ we will examine the inter-relationships between science and society, as well as a brief historical survey of our understanding of the nature of force since the revolutionary work of Isaac Newton. The discussion will include classical mechanics, thermodynamics, electricity, and magnetism, etc. No prior knowledge in physics is assumed.",First semester (Wed),"- Dr F.C.C. Ling Department of Physics, Faculty of Science: Tel: 2241 5248 Email: ccling@hku.hk
- Dr F.C.C. Ling Department of Physics, Faculty of Science: Tel: 2241 5248 Email: ccling@hku.hk
","- Case study: 30
- Group presentation: 25
- Tutorial participation and performance: 10
- In-class tests: 35","- Lectures: 22
- Tutorials: 8
- Seminars: 2
- Demonstrations: 3
- Reading / Self-study: 40
- Assessment: Essay / Report writing: 15
- Assessment: Presentation (incl preparation): 30
- Assessment: In-class tests (incl preparation): 30
- Total: 150"
"""CCCH9042 – Corruption and Anticorruption in China""","This course is under the thematic cluster(s) of:One of the enduring problems harassing Chinese regimes since imperial times has been corruption, which seems to be deeply embedded in the Chinese culture. Corruption has grown particularly fast since the marketization reform in 1978. Given its wide impact on economic growth, social stability and welfare, corruption is arguably the topmost challenge to contemporary Chinese government in the 21st Century. Therefore, studying corruption and anticorruption in China enriches our understanding of the nature of Chinese culture, politics, and economy, and helps us foresee the prospects of China in the new millennium. In this course, through exploring major forms of corruption, the causes of corruption and the effectiveness of anticorruption measures in controlling corruption, students will get a glimpse of various perspectives on understanding contemporary China, such as the hidden rules of the Chinese state, the informal institutions of government, the formation of social network, elite politics, the legal system, and the media-government relationship.[A compulsory field visit may be scheduled during Reading Week.]",First Semester (Wed),"- Dr J. Zhu Department of Politics and Public Administration, Faculty of Social Sciences: Tel: 3917 2278 Email: zhujn@hku.hk
- Dr L.E.J. Hun Department of Politics and Public Administration, Faculty of Social Sciences: Tel: 3917 4981 Email: jhun11@hku.hk 
","- Lecture participation: 10
- Tutorial participation: 30
- Response essays: 20
- Group research project: 40","- Lectures: 26
- Tutorials: 10
- Reading / Self-study: 55
- Assessment: Essay / Report writing: 20
- Assessment: Presentation (incl preparation): 4
- Assessment: Group project: 40
- Total: 155"
"""CCCH9058 – Talking About Politics: Chinese Debates in Political Thinking, Past and Present""","This course will have an interdisciplinary focus: we will discuss key themes in Chinese political thinking, drawing on philosophy, history, law, and contemporary politics. We will take great thinkers from the past and put them in dialogue with each other and use their ideas to think about contemporary social and political challenges. The purpose of the course is to make students aware of the diverse and fascinating debates in political theory in Chinese history, to compare them with debates elsewhere, and to think about to what extent they still matter today.We will discuss the following themes and thinkers: (1) The Morality of Warfare (Mencius and Shang Yang); (2) Freedom and Harmony (Confucius and Zhuangzi); (3) Ritual Propriety and Law (Xunzi and Han Feizi); (4) Music and Social Welfare (Yueji and Mozi); (5) Democracy and Political Meritocracy (Liang Shuming and Hu Shih); (6) Symbolic Monarchy and Republicanism (Kang Youwei and Liang Qichao).",Second semester (Wed),"- Professor Daniel Bell Department of Law, Faculty of Law: Tel: 3917 4369 Email: dabell@hku.hk
- Professor Daniel Bell Department of Law, Faculty of Law: Tel: 3917 4369 Email: dabell@hku.hk
","- Participation in lectures and tutorials: 30
- Essay: 35
- Video: 35","- Lectures: 24
- Tutorials: 12
- Reading / Self-study: 24
- Assessment: Roleplay / Debate: 20
- Assessment: Essay / Report writing: 20
- Assessment: Video production: 20
- Total: 120"
"""CCHU9082 – 24 Frames: Communicating Ideas through Film""","This course is under the thematic cluster(s) of:﻿﻿﻿﻿[This is a certified Communication-intensive (Ci) Course which meets all of the requirements endorsed by HKU’s Senate, including i) the teaching and assessment of visual and digital communication ‘literacies’; and ii) at least 40% of the course grade assigned to communication-rich assessment tasks.]Films move at 24 frames (or images) per second, while the stories they convey emotionally move us at a different speed. Either in the form of daily-shared stories on our phones or streaming platforms at home, motion pictures are deep-seated. This course investigates films as tools for thought. Students will learn about interesting ways of watching films, film criticism, and especially how to communicate powerful ideas through short films. By the end of the semester, students will be able to communicate their own ideas on screen by using the method of remediation to visually discuss Hong Kong-related themes.Driven by an international range of film productions across time periods and genres, we will begin to develop a visual vocabulary through terms such as mapping, observation, narrative and montage in order to create our own short film adaptions. Using a ‘procedural mode of engagement’ — which we will explain in class — as a way of examining these contexts and frames, the course adapts film-making as an act of creative engagement with the built environment. This creative reservoir of residential atmospheres helps us to question our current place and time. Through in-class discussions, critical film analysis, peer reviews and short films, the course will enhance students’ visual communication skills. No prior film or poster making skills are required.",First semester (Wed),"- Mr N. Ettel Department of Architecture, Faculty of Architecture: Tel: 3917 0129 Email: nettel@hku.hk
- Mr N. Ettel Department of Architecture, Faculty of Architecture: Tel: 3917 0129 Email: nettel@hku.hk
","- 3-minute film: 30
- Poster: 20
- Film review and analysis: 20
- Peer evaluation: 15
- In-class presentation / Class discussion: 15","- Seminars: 24
- Tutorials: 8
- Reading / Self-study: 40
- Film viewing: 20
- Assessment: Writing assignments / Report writing: 10
- Assessment: Presentation (incl preparation): 20
- Total: 122"
"""CCHU5065 – A Life Worth Living (Online)""","This course is under the thematic cluster(s) of:[This course will be delivered fully online.]What does it mean to live a worthy life? This is one of the most fundamental questions of human existence and this course addresses the relevant issues through an engagement with various philosophical and religious traditions, such as Buddhism, Taoism, Confucianism, Hinduism, Christianity and Secular Humanism.  We shall discuss how the teachings of important historical figures from these traditions have influenced the choices of people over the centuries, and how they have been contextualized and adopted in contemporary society. We shall examine how these figures regard the place of bodily pleasures, intellectual pursuits, power, status, possessions, accomplishments, virtues, relationship with other human beings and the relationship (or not) with the transcendent in their vision of a good life. We will explore the resources they offer for dealing with stress, temptations, disappointments and failures, social oppression, the loss of possessions and of loved ones, and with one’s own death. The course will help students connect across different disciplines and cultures, and develop the ability to examine controversial issues from multiple perspectives. Students will achieve these aims through interactive learning and high impact practices such as group debates and interviewing contemporary advocates of different worldviews concerning the question of “what makes a worthy life?”",First semester (Wed),"- Dr C. Hildebrand School of Humanities, Faculty of Arts: Tel: 3917 5921 Email: carlh@hku.hk
- Dr C. Hildebrand School of Humanities, Faculty of Arts: Tel: 3917 5921 Email: carlh@hku.hk
- Professor D.K.L. Chua School of Humanities (Music), Faculty of Arts: Tel: 3917 2872 Email: dchua@hku.hk
- Dr G. Halkias Centre of Buddhist Studies, Faculty of Arts: Tel: 3917 2846 Email: halkias@hku.hk
","- Individual presentation: 20
- Tutorial participation and assignments / discussions: 10
- In-class discussion: 10
- Short writing assignments: 30
- Final essay: 30","- Lectures: 24
- Tutorials: 8
- Reading / Self-study: 36
- Preparing materials and questions for discussion: 10
- Assessment: Essay / Report writing: 36
- Assessment: Presentation: 6
- Total: 120"
"""CCCH5017 – People, Propaganda and Profit: Understanding Media in China (Online)""","This course is under the thematic cluster(s) of:[Lectures and tutorials of this course will be delivered online.]This course aims to explore the evolving media landscape of China during the post-1978 reform period from a sociological perspective. The course will begin by examining the historical roots of mass propaganda in Chinese media during the Mao Era, analyzing its development from political, social, and cultural dimensions. Subsequently, the course will delve into how Deng’s market liberalization policies have infused profit-making mechanisms that have reshaped media practices, all while the government maintains control. The course will use specific examples to illustrate how the emergence of new media technology, fortified by Xi’s media convergence policy, has enabled the voice of the people to be heard, amplifying media’s role as a mass communication vehicle both domestically and globally. Throughout the semester, the course will utilize the “people, propaganda, and profit” framework to examine the implications of shifting relations between the state, market, and society on cultural and media production, consumption and reception.This course engages in a cross-disciplinary exploration of the social consequences of the evolving media environment in China. Through an analysis of various forms of media and communication, such as newspapers, television, film, advertising, the arts, and new media, this course scrutinizes the intricate and dynamic interplay of evolving political, economic, and social forces that contribute to cultural and social transformation in China.",Second semester (Wed),"- Dr L.F. Cho Department of Sociology, Faculty of Social Sciences: Tel: 3917 4641 Email: lifcho@hku.hk
- Dr L.F. Cho Department of Sociology, Faculty of Social Sciences: Tel: 3917 4641 Email: lifcho@hku.hk
","- Group project: 30
- Individual assignment: 40
- Tutorial presentation and participation: 30","- Lectures: 24
- Tutorials: 10
- Reading / Self-study: 26
- Assessment: Essay / Report writing: 50
- Assessment: Presentation (incl preparation): 20
- Total: 130"
"""CCST9064 – The World Changed by DNA""","Imagine that we turned all the information in our DNA into ‘1’s and ‘0’s. That would be 1.5 gigabytes (GB) of data! To think that this information can determine everything about ‘who we are’ is a frightening thought, but we can now easily obtain this code for each individual in just a matter of days. Ten years ago, the letters A, T, C and G may only have been relevant in a biology exam, but nowadays it means so much more! When your gym reports that you possess the ‘warrior gene’, does it mean you will do particularly well in your workups? Why do twins turn out to be completely different when they grow up in different countries? Are all our problems our parent’s fault? Or is ‘someone’ or ‘something else’ responsible too?This course aims to explore the ways that the DNA code can influence our lives and well-being. The content will be applicable to students from any background and participants will also get to meet representatives from non-governmental organizations and learn from their perspectives. The teaching will be primarily lecture-based and the assessment will be 100% coursework.",First semester (Wed),"- Dr B.H.Y. Chung Department of Paediatrics and Adolescent Medicine, LKS Faculty of Medicine: Tel: 2255 4482 Email: bhychung@hku.hk
- Dr B.H.Y. Chung Department of Paediatrics and Adolescent Medicine, LKS Faculty of Medicine: Tel: 2255 4482 Email: bhychung@hku.hk
- Dr W.L. Yang Department of Paediatrics and Adolescent Medicine, LKS Faculty of Medicine: Tel: 3917 9073 Email: yangwl@hku.hk
","- Essay: 35
- Presentation: 30
- In-class quizzes: 20
- Tutorial participation: 15","- Lectures: 22
- Tutorials: 8
- Film viewing: 2
- Reading / Self-study: 30
- Assessment: Essay / Report writing: 25
- Assessment: Presentation (incl preparation): 30
- Assessment: In-class quizzes (incl preparation): 10
- Total: 127"
